word|state_label,0,1,2,3,4,5,6
aioi,41,1104,6,45,25,37,432
aue,871,2,125,70,142,190,0
ao,77,6,832,5,36,70,0
ie,156,0,3,18,1023,0,5
uo,62,0,248,649,6,4,21

aioi_label:1,aue_label:0,ao_label:2,ie_label:4,uo_label:3
