phone|letter_label,0,1,2,3,4,5
a,192,0,23,0,46,1129
i,3,0,1383,0,79,14
u,888,0,69,0,48,1
e,0,0,63,0,864,57
o,1194,0,139,0,15,104

a_label:5,i_label:2,u_label:0,e_label:4,o_label:0
