0.043745	-0.103607	-0.031091	-0.030365	0.079094	-0.118945	0.089357	0.076797
0.050470	-0.119409	-0.035879	-0.035037	0.091207	-0.137003	0.102997	0.088561
-0.093139	0.218136	0.066359	0.064742	-0.167493	0.248820	-0.188353	-0.162687
0.047040	-0.111354	-0.033436	-0.032654	0.085031	-0.127802	0.096044	0.082563
0.212400	-0.475166	-0.152797	-0.148469	0.373447	-0.528574	0.412553	0.363339
0.063953	-0.150958	-0.045487	-0.044411	0.115445	-0.172963	0.130243	0.112104
-0.075198	0.176787	0.053536	0.052247	-0.135478	0.202102	-0.152580	-0.131572
0.102153	-0.239021	-0.072790	-0.071015	0.183621	-0.272471	0.206429	0.178362
0.003214	-0.007782	-0.002271	-0.002224	0.005873	-0.009042	0.006703	0.005701
-0.024447	0.057748	0.017389	0.016976	-0.044145	0.066209	-0.049807	-0.042863
0.029484	-0.069982	-0.020945	-0.020460	0.053365	-0.080441	0.060344	0.051812
-0.017766	0.041937	0.012640	0.012338	-0.032070	0.048064	-0.036171	-0.031139
-0.197573	0.445144	0.141917	0.137985	-0.348605	0.497022	-0.386140	-0.339078
-0.011193	0.026369	0.007968	0.007776	-0.020186	0.030189	-0.022745	-0.019601
-0.003536	0.008219	0.002526	0.002461	-0.006336	0.009340	-0.007095	-0.006153
-0.012371	0.029161	0.008806	0.008594	-0.022317	0.033395	-0.025153	-0.021670
-0.002702	0.006241	0.001933	0.001882	-0.004827	0.007069	-0.005390	-0.004688
0.002759	-0.006705	-0.001948	-0.001908	0.005051	-0.007804	0.005774	0.004902
-0.007181	0.016860	0.005117	0.004991	-0.012930	0.019267	-0.014546	-0.012555
0.006818	-0.016325	-0.004832	-0.004725	0.012392	-0.018855	0.014069	0.012029
-0.015433	0.036413	0.010981	0.010718	-0.027852	0.041722	-0.031407	-0.027044
-0.013776	0.032488	0.009804	0.009568	-0.024857	0.037216	-0.028022	-0.024136
-0.022659	0.053520	0.016118	0.015735	-0.040915	0.061358	-0.046160	-0.039727
-0.016884	0.039849	0.012013	0.011726	-0.030476	0.045668	-0.034370	-0.029592
-0.000706	0.001510	0.000515	0.000497	-0.001216	0.001633	-0.001309	-0.001183
-0.012796	0.030166	0.009107	0.008888	-0.023084	0.034549	-0.026019	-0.022415
-0.007757	0.018225	0.005526	0.005391	-0.013971	0.020834	-0.015722	-0.013566
-0.009775	0.023009	0.006960	0.006792	-0.017622	0.026329	-0.019848	-0.017111
-0.010285	0.024215	0.007322	0.007145	-0.018543	0.027715	-0.020888	-0.018005
-0.008879	0.020883	0.006323	0.006169	-0.016000	0.023888	-0.018015	-0.015536
-0.011496	0.027087	0.008183	0.007986	-0.020734	0.031013	-0.023364	-0.020133
-0.011257	0.026519	0.008013	0.007820	-0.020301	0.030361	-0.022875	-0.019712
-0.008408	0.019768	0.005989	0.005842	-0.015149	0.022607	-0.017053	-0.014710
-0.006823	0.016011	0.004862	0.004742	-0.012282	0.018292	-0.013814	-0.011927
-0.009081	0.021363	0.006467	0.006309	-0.016366	0.024439	-0.018429	-0.015891
-0.005695	0.013336	0.004060	0.003959	-0.010241	0.015219	-0.011507	-0.009945
-0.004987	0.011659	0.003557	0.003468	-0.008961	0.013292	-0.010061	-0.008702
-0.007772	0.018261	0.005537	0.005401	-0.013999	0.020876	-0.015754	-0.013593
