word|state_label,0,1,2,3,4,5,6
aioi,0,77,233,0,13,101,0
aue,0,88,199,0,0,63,15
ao,0,40,174,0,0,47,11
ie,0,79,40,14,132,48,0
uo,0,86,0,17,107,51,0

aioi_label:2,aue_label:2,ao_label:2,ie_label:4,uo_label:4
