phone|letter_label,0,1,2,3,4,5
a,0,0,0,359,0,23
i,0,0,0,0,0,360
u,0,0,0,0,0,252
e,0,0,0,0,0,287
o,0,0,0,1,0,353

a_label:3,i_label:5,u_label:5,e_label:5,o_label:5
